obj_id RA DEC J J_err H H_err K K_err
03a_1_02152 0.9385738372802734 0.6832565665245056 17.98084912012907 0.02075204625725746 17.543099069523258 0.03268386423587799 17.416655260708794 0.0527142696082592
03a_1_02153 0.9385837316513062 0.6836919784545898 18.06486787889887 0.021765211597085 17.539198171880113 0.032562561333179474 16.937126306371777 0.03481423854827881
03a_1_02156 0.9385846257209778 0.6819952130317688 17.973250297397858 0.020676568150520325 17.233448795774574 0.025255994871258736 16.419963610867118 0.022628076374530792
03a_1_02158 0.9385632276535034 0.6833558082580566 20.71727619445027 0.14065764844417572 inf nan inf nan
03a_1_02160 0.9385553002357483 0.6815091371536255 21.249073527948216 0.22407551109790802 inf nan inf nan
03a_1_02162 0.9385521411895752 0.6808772683143616 19.49662304620088 0.054812896996736526 18.83120298480731 0.10137414932250977 18.343068351371784 0.12055467069149017
03a_1_02166 0.9385570287704468 0.6831280589103699 19.956859896723216 0.07680995017290115 18.938772859434945 0.1112409308552742 18.71911553537615 0.16869287192821503
03a_1_02170 0.9385808110237122 0.6810221076011658 18.028385151295808 0.021364480257034302 17.939717686006656 0.04609692096710205 17.555173400860923 0.05972612649202347
03a_1_02173 0.9385690689086914 0.6821136474609375 20.39658795640992 0.10850790143013 inf nan 18.78383670801655 0.17913788557052612
03a_1_02177 0.9385467171669006 0.6830042004585266 19.894101689625156 0.0732068419456482 19.76808238915781 0.23565106093883514 18.842331354653847 0.18865513801574707
